,Speed (mm/s),Pressure (psi),Material,Thivex,Time Period,Batches,Radius,Line Shape,Needle Size,Needle dia (um),AreaA1 (mm2),FlowQ1 (mm3/s),ShearS1 (1/s),ViscosN1 (PaS),Width (um)
936,20,65,DS30,0%,Phase2: 30 mins to 60 min,Batch 1,1,Straight,18,838,0.55126154,11.0252308,190.9307876,0.150919265,
942,30,65,DS30,0%,Phase2: 30 mins to 60 min,Batch 1,1,Straight,18,838,0.55126154,16.5378462,286.3961814,0.131484226,
948,40,65,DS30,0%,Phase2: 30 mins to 60 min,Batch 1,1,Straight,18,838,0.55126154,22.0504616,381.8615752,0.119232454,
954,50,65,DS30,0%,Phase2: 30 mins to 60 min,Batch 1,1,Straight,18,838,0.55126154,27.563077,477.326969,0.110521069,
960,20,75,DS30,0%,Phase2: 30 mins to 60 min,Batch 1,1,Straight,18,838,0.55126154,11.0252308,190.9307876,0.150919265,
966,30,75,DS30,0%,Phase2: 30 mins to 60 min,Batch 1,1,Straight,18,838,0.55126154,16.5378462,286.3961814,0.131484226,
972,40,75,DS30,0%,Phase2: 30 mins to 60 min,Batch 1,1,Straight,18,838,0.55126154,22.0504616,381.8615752,0.119232454,
978,50,75,DS30,0%,Phase2: 30 mins to 60 min,Batch 1,1,Straight,18,838,0.55126154,27.563077,477.326969,0.110521069,
984,20,85,DS30,0%,Phase2: 30 mins to 60 min,Batch 1,1,Straight,18,838,0.55126154,11.0252308,190.9307876,0.150919265,
990,30,85,DS30,0%,Phase2: 30 mins to 60 min,Batch 1,1,Straight,18,838,0.55126154,16.5378462,286.3961814,0.131484226,
996,40,85,DS30,0%,Phase2: 30 mins to 60 min,Batch 1,1,Straight,18,838,0.55126154,22.0504616,381.8615752,0.119232454,
1002,50,85,DS30,0%,Phase2: 30 mins to 60 min,Batch 1,1,Straight,18,838,0.55126154,27.563077,477.326969,0.110521069,
1008,20,95,DS30,0%,Phase2: 30 mins to 60 min,Batch 1,1,Straight,18,838,0.55126154,11.0252308,190.9307876,0.150919265,
1014,30,95,DS30,0%,Phase2: 30 mins to 60 min,Batch 1,1,Straight,18,838,0.55126154,16.5378462,286.3961814,0.131484226,
1020,40,95,DS30,0%,Phase2: 30 mins to 60 min,Batch 1,1,Straight,18,838,0.55126154,22.0504616,381.8615752,0.119232454,
1026,50,95,DS30,0%,Phase2: 30 mins to 60 min,Batch 1,1,Straight,18,838,0.55126154,27.563077,477.326969,0.110521069,
1032,20,65,DS30,0%,Phase3: After 60 mins,Batch 1,1,Straight,18,838,0.55126154,11.0252308,190.9307876,0.150919265,
1038,30,65,DS30,0%,Phase3: After 60 mins,Batch 1,1,Straight,18,838,0.55126154,16.5378462,286.3961814,0.131484226,
1044,40,65,DS30,0%,Phase3: After 60 mins,Batch 1,1,Straight,18,838,0.55126154,22.0504616,381.8615752,0.119232454,
1050,50,65,DS30,0%,Phase3: After 60 mins,Batch 1,1,Straight,18,838,0.55126154,27.563077,477.326969,0.110521069,
1056,20,75,DS30,0%,Phase3: After 60 mins,Batch 1,1,Straight,18,838,0.55126154,11.0252308,190.9307876,0.150919265,
1062,30,75,DS30,0%,Phase3: After 60 mins,Batch 1,1,Straight,18,838,0.55126154,16.5378462,286.3961814,0.131484226,
1068,40,75,DS30,0%,Phase3: After 60 mins,Batch 1,1,Straight,18,838,0.55126154,22.0504616,381.8615752,0.119232454,
1074,50,75,DS30,0%,Phase3: After 60 mins,Batch 1,1,Straight,18,838,0.55126154,27.563077,477.326969,0.110521069,
1080,20,85,DS30,0%,Phase3: After 60 mins,Batch 1,1,Straight,18,838,0.55126154,11.0252308,190.9307876,0.150919265,
1086,30,85,DS30,0%,Phase3: After 60 mins,Batch 1,1,Straight,18,838,0.55126154,16.5378462,286.3961814,0.131484226,
1092,40,85,DS30,0%,Phase3: After 60 mins,Batch 1,1,Straight,18,838,0.55126154,22.0504616,381.8615752,0.119232454,
1098,50,85,DS30,0%,Phase3: After 60 mins,Batch 1,1,Straight,18,838,0.55126154,27.563077,477.326969,0.110521069,
1104,20,95,DS30,0%,Phase3: After 60 mins,Batch 1,1,Straight,18,838,0.55126154,11.0252308,190.9307876,0.150919265,
1110,30,95,DS30,0%,Phase3: After 60 mins,Batch 1,1,Straight,18,838,0.55126154,16.5378462,286.3961814,0.131484226,
1116,40,95,DS30,0%,Phase3: After 60 mins,Batch 1,1,Straight,18,838,0.55126154,22.0504616,381.8615752,0.119232454,
1122,50,95,DS30,0%,Phase3: After 60 mins,Batch 1,1,Straight,18,838,0.55126154,27.563077,477.326969,0.110521069,
1128,30,65,DS30,1%,Phase1: First 30 mins,Batch 1,1,Straight,18,838,0.55126154,16.5378462,286.3961814,0.131484226,1833.112132
1134,40,65,DS30,1%,Phase1: First 30 mins,Batch 1,1,Straight,18,838,0.55126154,22.0504616,381.8615752,0.119232454,1405.669617
1140,50,65,DS30,1%,Phase1: First 30 mins,Batch 1,1,Straight,18,838,0.55126154,27.563077,477.326969,0.110521069,1307.063955
1146,20,75,DS30,1%,Phase1: First 30 mins,Batch 1,1,Straight,18,838,0.55126154,11.0252308,190.9307876,0.150919265,2763.351728
1152,30,75,DS30,1%,Phase1: First 30 mins,Batch 1,1,Straight,18,838,0.55126154,16.5378462,286.3961814,0.131484226,2005.116048
1158,40,75,DS30,1%,Phase1: First 30 mins,Batch 1,1,Straight,18,838,0.55126154,22.0504616,381.8615752,0.119232454,1525.398416
